Coaster,Park,City,State,Type,Design,Year,Speed,Height,Drop,Length,Duration,Inversions
Zippin Pippin,Libertyland,Memphis,Tennessee,Wood,Sit Down,1915,40,70,70,2865,90,0
Jack Rabbit,Kennywood Park,West Mifflin,Pennsylvania,Wood,Sit Down,1921,45,40,70,2132,96,0
Thunderhawk,Dorney Park,Allentown,Pennsylvania,Wood,Sit Down,1923,45,80,65,2767,78,0
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,Wood,Sit Down,1924,55,70,65,2640,112,0
Thunderbolt,Kennywood Park,West Mifflin,Pennsylvania,Wood,Sit Down,1924,55,70,95,2887,101,0
Wildcat,Lake Compounce,Bristol,Connecticut,Wood,Sit Down,1927,48,85,78,2746,75,0
Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,Wood,Sit Down,1935,50,55,52,2650,105,0
Cyclone,Lakeside,Denver,Colorado,Wood,Sit Down,1940,NA,90,89,2800,120,0
Comet,Hersheypark,Hershey,Pennsylvania,Wood,Sit Down,1946,50,84,78,3360,105,0
Comet,Waldameer Park,Erie,Pennsylvania,Wood,Sit Down,1951,25,37,25,1300,84,0
High Speed Thrill Coaster,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1955,40,18,12,200,NA,0
Bobsleds,Seabreeze,Rochester,New York,Steel,Sit Down,1962,23,31,16,1240,NA,0
Starliner,Miracle Strip Amusement Park,Panama City Beach,Florida,Wood,Sit Down,1963,55,70,76,2640,NA,0
Swamp Fox,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,Wood,Sit Down,1963,50,75,65,2400,NA,0
Blue Streak,Cedar Point,Sandusky,Ohio,Wood,Sit Down,1964,40,78,72,2558,105,0
Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,Wood,Sit Down,1967,50,70,70,2272,NA,0
River King Mine Train,Six Flags St. Louis,Eureka,Missouri,Steel,Sit Down,1971,37,32,41,2500,180,0
Big Bend,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,1971,52,81,NA,2876,98,0
Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,Wood,Sit Down,1973,57,105,89,3450,120,0
Demon,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,50,102,90,2130,105,4
Demon,Paramounts Great America,Santa Clara,California,Steel,Sit Down,1976,50,102,90,2130,105,4
Screamin Eagle,Six Flags St. Louis,Eureka,Missouri,Wood,Sit Down,1976,62,110,92,3872,150,0
Texas Cyclone,Six Flags AstroWorld,Houston,Texas,Wood,Sit Down,1976,NA,93,80,3180,135,0
Whizzer,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,42,70,64,3100,120,0
Colossus,Six Flags Magic Mountain,Valencia,California,Wood,Sit Down,1978,62,125,115,4325,150,0
Gemini,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1978,60,125,118,3935,140,0
Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1978,60,130,114,3240,130,2
Montezooma's Revenge,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1978,55,148,137,800,36,1
Beast,Paramounts Kings Island,Kings Mills,Ohio,Wood,Sit Down,1979,65,110,141,7359,250,0
Revolution,Libertyland,Memphis,Tennessee,Steel,Sit Down,1979,55,70,65,1565,80,3
Silver Bullet,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1979,55,83,75,1942,NA,1
Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,Wood,Sit Down,1980,53,71,65,2670,90,0
American Eagle,Six Flags Great America,Gurnee,Illinois,Wood,Sit Down,1981,66,127,147,4650,143,0
Viper,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1982,50,121,75,3100,124,5
Big Bad Wolf,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Suspended,1984,48,100,80,2800,180,0
Phoenix,Knoebels,Elysburg,Pennsylvania,Wood,Sit Down,1985,45,78,72,3200,120,0
Wild One,Six Flags America,Upper Marlboro,Maryland,Wood,Sit Down,1986,53,98,88,4000,112,0
Skyliner,Lakemont Park,Altoona,Pennsylvania,Wood,Sit Down,1987,NA,60,45,2400,NA,0
Vortex,Paramounts Kings Island,Kings Mills,Ohio,Steel,Sit Down,1987,55,148,138,3800,150,6
Excalibur,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1989,55,100,105,2415,137,0
Great American Scream Machine,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1989,68,173,155,3800,140,7
Magnum XL-200,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1989,72,205,195,5106,120,0
Timber Wolf,Worlds of Fun,Kansas City,Missouri,Wood,Sit Down,1989,53,100,95,4230,133,0
Corkscrew,Silverwood Theme Park,Athol,Idaho,Steel,Sit Down,1990,46,70,62,1250,NA,2
Georgia Cyclone,Six Flags Over Georgia,Austell,Georgia,Wood,Sit Down,1990,50,95,79,2970,108,0
Iron Wolf,Six Flags Great America,Gurnee,Illinois,Steel,Stand Up,1990,55,100,90,2900,120,2
Texas Giant,Six Flags Over Texas,Arlington,Texas,Wood,Sit Down,1990,65,143,137,4920,120,0
Ultra Twister,Six Flags AstroWorld,Houston,Texas,Steel,Pipeline,1990,44,97,92,1421,100,3
Viper,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1990,70,188,171,3830,150,7
Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,45,56,47,635,66,1
Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,50,128,144,2700,110,4
Dragon,Adventureland,Altoona,Iowa,Steel,Sit Down,1991,NA,90,85,2250,90,2
Mean Streak,Cedar Point,Sandusky,Ohio,Wood,Sit Down,1991,65,161,155,5427,193,0
Wildcat,Frontier City,Oklahoma City,Oklahoma,Wood,Sit Down,1991,60,75,65,2653,130,0
Rattler,Six Flags Fiesta Texas,San Antonio,Texas,Wood,Sit Down,1992,65,180,124,5080,NA,0
Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,55,90,85,2300,NA,1
Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,41,94,66,2423,90,4
Diamond Back,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1993,45,56,47,635,66,1
Kumba,Busch Gardens Tampa,Tampa,Florida,Steel,Sit Down,1993,60,143,135,3978,174,7
Top Gun,Paramounts Great America,Santa Clara,California,Steel,Inverted,1993,50,102,91,2260,146,3
Whirlwind,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1993,NA,64,48,1200,NA,2
Comet,Great Escape,Lake George,New York,Wood,Sit Down,1994,55,95,87,4197,120,0
Desperado,Buffalo Bills Resort & Casino,Primm,Nevada,Steel,Sit Down,1994,80,209,225,5843,163,0
Raptor,Cedar Point,Sandusky,Ohio,Steel,Inverted,1994,57,137,119,3790,136,6
Cyclops,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wood,Sit Down,1995,58,70,75,1900,60,0
Great NorEaster,Moreys Piers,Wildwood,New Jersey,Steel,Inverted,1995,55,115,95,2170,125,5
Jaguar!,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1995,35,65,45,2602,120,0
Raven,Holiday World,Santa Claus,Indiana,Wood,Sit Down,1995,48,80,110,2731,90,0
Screamer,Scandia Amusement Park,Ontario,California,Steel,Sit Down,1995,50,90,80,2600,116,0
Sidewinder,Six Flags Elitch Gardens,Denver,Colorado,Steel,Sit Down,1995,45,56,47,635,66,1
Viper,Six Flags Great America,Gurnee,Illinois,Wood,Sit Down,1995,50,100,80,3458,105,0
Great White,Moreys Piers,Wildwood,New Jersey,Wood,Sit Down,1996,50,110,100,3300,120,0
Mantis,Cedar Point,Sandusky,Ohio,Steel,Stand Up,1996,60,145,137,3900,160,4
