year,name,rank,sex
1880,John,1,male
1880,William,2,male
1880,James,3,male
1880,Charles,4,male
1880,George,5,male
1880,Frank,6,male
1880,Joseph,7,male
1880,Thomas,8,male
1880,Henry,9,male
1880,Robert,10,male
1880,Edward,11,male
1880,Harry,12,male
1880,Walter,13,male
1880,Arthur,14,male
1880,Fred,15,male
1880,Albert,16,male
1880,Samuel,17,male
1880,David,18,male
1880,Louis,19,male
1880,Joe,20,male
1881,John,1,male
1881,William,2,male
1881,James,3,male
1881,George,4,male
1881,Charles,5,male
1881,Frank,6,male
1881,Joseph,7,male
1881,Henry,8,male
1881,Thomas,9,male
1881,Edward,10,male
1881,Robert,11,male
1881,Harry,12,male
1881,Walter,13,male
1881,Arthur,14,male
1881,Fred,15,male
1881,Albert,16,male
1881,Samuel,17,male
1881,David,18,male
1881,Louis,19,male
1881,Charlie,20,male
1882,John,1,male
1882,William,2,male
1882,James,3,male
1882,George,4,male
1882,Charles,5,male
1882,Frank,6,male
1882,Joseph,7,male
1882,Thomas,8,male
1882,Henry,9,male
1882,Robert,10,male
1882,Edward,11,male
1882,Harry,12,male
1882,Walter,13,male
1882,Arthur,14,male
1882,Fred,15,male
1882,Albert,16,male
1882,Samuel,17,male
1882,Louis,18,male
1882,David,19,male
1882,Clarence,20,male
1883,John,1,male
1883,William,2,male
1883,James,3,male
1883,Charles,4,male
1883,George,5,male
1883,Frank,6,male
1883,Joseph,7,male
1883,Henry,8,male
1883,Robert,9,male
1883,Thomas,10,male
1883,Edward,11,male
1883,Harry,12,male
1883,Walter,13,male
1883,Arthur,14,male
1883,Fred,15,male
1883,Albert,16,male
1883,Samuel,17,male
1883,Clarence,18,male
1883,Louis,19,male
1883,David,20,male
1884,John,1,male
1884,William,2,male
1884,James,3,male
1884,George,4,male
1884,Charles,5,male
1884,Frank,6,male
1884,Joseph,7,male
1884,Thomas,8,male
1884,Henry,9,male
1884,Robert,10,male
1884,Edward,11,male
1884,Harry,12,male
